ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000008.SZ,2014Q3,,,490316.6486,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2014Q4,1983047935.2501016,1983047935.2501016,670656.0228,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2015Q1,,,2157965.6748,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2015Q2,,,2157965.6748,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2015Q3,,,1999829.3294,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2015Q4,,,2838311.988,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2016Q1,,,2981083.7306,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2016Q2,,,3003145.4048,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2016Q3,,,2672220.2914,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2016Q4,,,2618060.956,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2017Q1,,,2455134.4158,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2017Q2,,,2045008.9871,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2017Q3,,,2545561.7669,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2017Q4,,,2466038.5829,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2018Q1,,,1927737.5894,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2018Q2,,,1411983.2343,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2018Q3,,,1240065.116,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2018Q4,,,1096330.2957,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2019Q1,,,1284727.4499,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2019Q2,,,1048359.8454,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2019Q3,,,953812.8037,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2019Q4,,,1009428.7106,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2020Q1,,,873169.7386,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2020Q2,,,817553.8317,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2020Q3,-1645501058.5135143,-2090582428.791551,800869.0596,000008,神州高铁,北京,运输设备,主板,19920507,L
